,链接,图片,书名,评分,热评,价格,出版日期,出版社,作者
92,https://book.douban.com/subject/1863930/,https://img3.doubanio.com/view/subject/s/public/s1804710.jpg,看不见的城市,8.8,每一座城市都只在想象中耸立，又在描述中坍圮, 16.00元, 2006-8 , 译林出版社 ,[意大利]伊塔洛·卡尔维诺 / 张宓 
93,https://book.douban.com/subject/26425831/,https://img3.doubanio.com/view/subject/s/public/s28332051.jpg,"斯通纳

                
                   : A Novel",8.8,即使不能拥有完美的生活，所幸追求过完整的自我, 49.00元, 2016-1 , 上海人民出版社 ,[美] 约翰·威廉斯 / 杨向荣 
94,https://book.douban.com/subject/2070844/,https://img2.doubanio.com/view/subject/s/public/s2393243.jpg,梦里花落知多少,8.8,哀而不伤, 28.00元, 2007-6 , 北京十月文艺出版社 ,三毛 
95,https://book.douban.com/subject/1057244/,https://img1.doubanio.com/view/subject/s/public/s1595557.jpg,边城,8.7,一切充满了善，然而到处是不凑巧, 12.00元, 2002-4 , 北岳文艺出版社 ,沈从文 
96,https://book.douban.com/subject/10471333/,https://img3.doubanio.com/view/subject/s/public/s9015481.jpg,"叫魂

                
                   : 1768年中国妖术大恐慌",9.0,1768年中国妖术大恐慌, 38.00元, 2012-5 , 生活·读书·新知三联书店 上海三联书店 ,[美] 孔飞力 / 陈兼 
97,https://book.douban.com/subject/1034282/,https://img3.doubanio.com/view/subject/s/public/s1914861.jpg,"时间简史

                
                   : 插图本",8.8,探索时间和空间的核心秘密, 45.00元, 2010-4 , 湖南科学技术出版社 ,[英] 史蒂芬·霍金 / 许明贤 
98,https://book.douban.com/subject/5038409/,https://img9.doubanio.com/view/subject/s/public/s4444885.jpg,金色梦乡,9.0,伊坂幸太郎代表作, 35.00元, 2010-9 , 译林出版社 ,[日] 伊坂幸太郎 / 李彦桦 
99,https://book.douban.com/subject/6880158/,https://img2.doubanio.com/view/subject/s/public/s6987353.jpg,陆犯焉识,8.8,翻手为苍凉，覆手为繁华, 35.00元, 2011-10 , 作家出版社 ,严歌苓 
100,https://book.douban.com/subject/1119839/,https://img9.doubanio.com/view/subject/s/public/s2019056.jpg,王尔德童话,9.1,一颗纯美纯善、永难泯灭的童心, 6.00元, 2003-6 , 译林出版社 ,[英] 王尔德 / 王林 
101,https://book.douban.com/subject/3261600/,https://img9.doubanio.com/view/subject/s/public/s4619775.jpg,人生的智慧,9.2,对世俗、实用问题深刻而透彻的讨论, 28.00元, 2008-10 , 上海人民出版社 ,[德] 阿图尔·叔本华 / 韦启昌 
102,https://book.douban.com/subject/10522856/,https://img3.doubanio.com/view/subject/s/public/s8958901.jpg,冬牧场,9.0,阿勒泰的精灵, 29.80元, 2012-6 , 新星出版社 ,李娟 
103,https://book.douban.com/subject/3410718/,https://img2.doubanio.com/view/subject/s/public/s3893343.jpg,美的历程,9.2,中国美学经典之作, 43.00元, 2009-1-1 , 生活·读书·新知三联书店 ,李泽厚 
104,https://book.douban.com/subject/2154960/,https://img1.doubanio.com/view/subject/s/public/s2611329.jpg,一个陌生女人的来信,8.7,暗恋的极致, 20.00元, 2007-7 , 上海译文出版社 ,[奥] 斯台芬·茨威格 / 张玉书 
105,https://book.douban.com/subject/5337254/,https://img3.doubanio.com/view/subject/s/public/s6240330.jpg,孽子,9.1,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们, 46.00元, 2010.10 , 广西师范大学出版社 ,白先勇 
106,https://book.douban.com/subject/26362836/,https://img3.doubanio.com/view/subject/s/public/s28050760.jpg,献给阿尔吉侬的花束,9.1,当声称能改造智能的科学实验选中心智障碍主角, 36.00元, 2015-4 , 广西师范大学出版社 ,[美] 丹尼尔·凯斯 / 陈澄和 
107,https://book.douban.com/subject/27104959/,https://img3.doubanio.com/view/subject/s/public/s29535271.jpg,"离开的，留下的

                
                   : 那不勒斯四部曲3",8.8,探索中年的虚无、困惑、野心和近乎残暴的爱, 62.00元, 2017-10 , 人民文学出版社 ,[意] 埃莱娜·费兰特 / 陈英 
108,https://book.douban.com/subject/1046492/,https://img9.doubanio.com/view/subject/s/public/s23922774.jpg,國史大綱（上下）,9.3,钱穆中国通史, 76.00元, 2013-8 , 商務印書館 ,錢穆 
109,https://book.douban.com/subject/2160556/,https://img1.doubanio.com/view/subject/s/public/s2619779.jpg,十万个为什么,9.1,, 30.00元, 1962 ,少年儿童出版社 ,少年儿童出版社 
110,https://book.douban.com/subject/6798611/,https://img2.doubanio.com/view/subject/s/public/s6974202.jpg,史蒂夫·乔布斯传,8.7,完美主义者的最高形态, 68.00元, 2011-10-24 , 中信出版社 ,[美] 沃尔特·艾萨克森 / 管延圻 
111,https://book.douban.com/subject/2284311/,https://img3.doubanio.com/view/subject/s/public/s3042670.jpg,苏菲的世界,8.8,哲学启蒙书, 26.00元, 2007-10 , 作家出版社 ,[挪] 乔斯坦·贾德 / 萧宝森 
112,https://book.douban.com/subject/4207781/,https://img9.doubanio.com/view/subject/s/public/s4124434.jpg,孩子你慢慢来,8.7,我们现在怎样做母亲, 28.00元, 2009-12-1 , 生活·读书·新知三联书店 ,龙应台 
113,https://book.douban.com/subject/1062343/,https://img1.doubanio.com/view/subject/s/public/s1121598.jpg,"昨日的世界

                
                   : 一个欧洲人的回忆",9.2,一个高贵而残破的昨日镜像, 32.00元, 2004-5-1 , 广西师范大学出版社 ,[奥] 斯蒂芬·茨威格 / 舒昌善 
